Time,Voltage,SOC
1.25,50.0,99.99965277777778
1.26,50.0,99.99965
1.27,50.0,99.99964722222222
1.28,50.0,99.99964444444444
1.29,50.0,99.99964166666666
1.3,50.0,99.9996388888889
1.31,50.0,99.99963611111112
1.32,50.0,99.99963333333334
1.33,50.0,99.99963055555556
1.34,50.0,99.99962777777777
1.35,50.0,99.999625
1.36,50.0,99.99962222222223
1.37,50.0,99.99961944444445
1.3800000000000001,50.0,99.99961666666667
1.3900000000000001,50.0,99.99961388888889
1.4000000000000001,50.0,99.99961111111111
1.41,50.0,99.99960833333333
1.42,50.0,99.99960555555556
1.43,50.0,99.99960277777778
1.44,50.0,99.9996
1.45,50.0,99.99959722222222
1.46,50.0,99.99959444444444
1.47,50.0,99.99959166666666
1.48,50.0,99.9995888888889
1.49,50.0,99.99958611111111
1.5,50.0,99.99958333333333
1.51,50.0,99.99958055555555
1.52,50.0,99.99957777777777
1.53,50.0,99.999575
1.54,50.0,99.99957222222223
1.55,50.0,99.99956944444445
1.56,50.0,99.99956666666667
1.57,50.0,99.99956388888889
1.58,50.0,99.9995611111111
1.59,50.0,99.99955833333334
1.6,50.0,99.99955555555556
1.61,50.0,99.99955277777778
1.62,50.0,99.99955
1.6300000000000001,50.0,99.99954722222222
1.6400000000000001,50.0,99.99954444444444
1.6500000000000001,50.0,99.99954166666667
1.6600000000000001,50.0,99.99953888888889
1.67,50.0,99.99953611111111
1.68,50.0,99.99953333333333
1.69,50.0,99.99953055555555
1.7,50.0,99.99952777777777
1.71,50.0,99.999525
1.72,50.0,99.99952222222223
1.73,50.0,99.99951944444445
1.74,50.0,99.99951666666666
1.75,50.0,99.99951388888888
1.76,50.0,99.9995111111111
1.77,50.0,99.99950833333334
1.78,50.0,99.99950555555556
1.79,50.0,99.99950277777778
1.8,50.0,99.9995
1.81,50.0,99.99949722222222
1.82,50.0,99.99949444444445
1.83,50.0,99.99949166666667
1.84,50.0,99.99948888888889
1.85,50.0,99.99948611111111
1.86,50.0,99.99948333333333
1.87,50.0,99.99948055555555
1.8800000000000001,50.0,99.99947777777778
1.8900000000000001,50.0,99.999475
1.9000000000000001,50.0,99.99947222222222
1.9100000000000001,50.0,99.99946944444444
1.92,50.0,99.99946666666666
1.93,50.0,99.99946388888888
1.94,50.0,99.99946111111112
1.95,50.0,99.99945833333334
1.96,50.0,99.99945555555556
1.97,50.0,99.99945277777778
1.98,50.0,99.99945
1.99,50.0,99.99944722222222
2.0,50.0,99.99944444444445
2.0100000000000002,50.0,99.99944166666667
2.02,50.0,99.99943888888889
2.0300000000000002,50.0,99.99943611111111
2.04,50.0,99.99943333333333
2.05,50.0,99.99943055555555
2.06,50.0,99.99942777777778
2.07,50.0,99.999425
2.08,50.0,99.99942222222222
2.09,50.0,99.99941944444444
2.1,50.0,99.99941666666666
2.11,50.0,99.9994138888889
2.12,50.0,99.99941111111112
2.13,50.0,99.99940833333334
2.14,50.0,99.99940555555555
2.15,50.0,99.99940277777777
2.16,50.0,99.9994
2.17,50.0,99.99939722222223
2.18,50.0,99.99939444444445
2.19,50.0,99.99939166666667
2.2,50.0,99.99938888888889
2.21,50.0,99.99938611111111
2.22,50.0,99.99938333333333
2.23,50.0,99.99938055555556
2.24,50.0,99.99937777777778
2.25,50.0,99.999375
2.2600000000000002,50.0,99.99937222222222
2.27,50.0,99.99936944444444
2.2800000000000002,50.0,99.99936666666666
2.29,50.0,99.9993638888889
2.3000000000000003,50.0,99.99936111111111
2.31,50.0,99.99935833333333
2.32,50.0,99.99935555555555
2.33,50.0,99.99935277777777
2.34,50.0,99.99935
2.35,50.0,99.99934722222223
2.36,50.0,99.99934444444445
2.37,50.0,99.99934166666667
2.38,50.0,99.99933888888889
2.39,50.0,99.9993361111111
2.4,50.0,99.99933333333334
2.41,50.0,99.99933055555556
2.42,50.0,99.99932777777778
2.43,50.0,99.999325
2.44,50.0,99.99932222222222
2.45,50.0,99.99931944444444
2.46,50.0,99.99931666666667
2.47,50.0,99.99931388888889
2.48,50.0,99.99931111111111
2.49,50.0,99.99930833333333
2.5,50.0,99.99930555555555
2.5100000000000002,50.0,99.99930277777777
2.52,50.0,99.9993
2.5300000000000002,50.0,99.99929722222222
2.54,50.0,99.99929444444444
2.5500000000000003,50.0,99.99929166666666
2.56,50.0,99.99928888888888
2.57,50.0,99.99928611111112
2.58,50.0,99.99928333333334
2.59,50.0,99.99928055555556
2.6,50.0,99.99927777777778
2.61,50.0,99.999275
2.62,50.0,99.99927222222222
2.63,50.0,99.99926944444445
2.64,50.0,99.99926666666667
2.65,50.0,99.99926388888889
2.66,50.0,99.99926111111111
2.67,50.0,99.99925833333333
2.68,50.0,99.99925555555555
2.69,50.0,99.99925277777778
2.7,50.0,99.99925
2.71,50.0,99.99924722222222
2.72,50.0,99.99924444444444
2.73,50.0,99.99924166666666
2.74,50.0,99.99923888888888
2.75,50.0,99.99923611111112
2.7600000000000002,50.0,99.99923333333334
2.77,50.0,99.99923055555556
2.7800000000000002,50.0,99.99922777777778
2.79,50.0,99.999225
2.8000000000000003,50.0,99.99922222222222
2.81,50.0,99.99921944444445
2.82,50.0,99.99921666666667
2.83,50.0,99.99921388888889
2.84,50.0,99.99921111111111
2.85,50.0,99.99920833333333
2.86,50.0,99.99920555555556
2.87,50.0,99.99920277777778
2.88,50.0,99.9992
2.89,50.0,99.99919722222222
2.9,50.0,99.99919444444444
2.91,50.0,99.99919166666666
2.92,50.0,99.9991888888889
2.93,50.0,99.99918611111111
2.94,50.0,99.99918333333333
2.95,50.0,99.99918055555555
2.96,50.0,99.99917777777777
2.97,50.0,99.999175
2.98,50.0,99.99917222222223
2.99,50.0,99.99916944444445
3.0,50.0,99.99916666666667
3.0100000000000002,50.0,99.99916388888889
3.02,50.0,99.9991611111111
3.0300000000000002,50.0,99.99915833333333
3.04,50.0,99.99915555555556
3.0500000000000003,50.0,99.99915277777778
3.06,50.0,99.99915
3.0700000000000003,50.0,99.99914722222222
3.08,50.0,99.99914444444444
3.09,50.0,99.99914166666667
3.1,50.0,99.9991388888889
3.11,50.0,99.99913611111111
3.12,50.0,99.99913333333333
3.13,50.0,99.99913055555555
3.14,50.0,99.99912777777777
3.15,50.0,99.999125
3.16,50.0,99.99912222222223
3.17,50.0,99.99911944444445
3.18,50.0,99.99911666666667
3.19,50.0,99.99911388888889
3.2,50.0,99.9991111111111
3.21,50.0,99.99910833333334
3.22,50.0,99.99910555555556
3.23,50.0,99.99910277777778
3.24,50.0,99.9991
3.25,50.0,99.99909722222222
3.2600000000000002,50.0,99.99909444444444
3.27,50.0,99.99909166666667
3.2800000000000002,50.0,99.99908888888889
3.29,50.0,99.99908611111111
3.3000000000000003,50.0,99.99908333333333
3.31,50.0,99.99908055555555
3.3200000000000003,50.0,99.99907777777777
3.33,50.0,99.999075
3.34,50.0,99.99907222222222
3.35,50.0,99.99906944444444
3.36,50.0,99.99906666666666
3.37,50.0,99.99906388888888
3.38,50.0,99.99906111111112
3.39,50.0,99.99905833333334
3.4,50.0,99.99905555555556
3.41,50.0,99.99905277777778
3.42,50.0,99.99905
3.43,50.0,99.99904722222222
3.44,50.0,99.99904444444445
3.45,50.0,99.99904166666667
3.46,50.0,99.99903888888889
3.47,50.0,99.99903611111111
3.48,50.0,99.99903333333333
3.49,50.0,99.99903055555555
3.5,50.0,99.99902777777778
3.5100000000000002,50.0,99.999025
3.52,50.0,99.99902222222222
3.5300000000000002,50.0,99.99901944444444
3.54,50.0,99.99901666666666
3.5500000000000003,50.0,99.99901388888888
3.56,50.0,99.99901111111112
3.5700000000000003,50.0,99.99900833333334
3.58,50.0,99.99900555555556
3.59,50.0,99.99900277777778
3.6,50.0,99.999
3.61,50.0,99.99899722222223
3.62,50.0,99.99899444444445
3.63,50.0,99.99899166666667
3.64,50.0,99.99898888888889
3.65,50.0,99.99898611111111
3.66,50.0,99.99898333333333
3.67,50.0,99.99898055555556
3.68,50.0,99.99897777777778
3.69,50.0,99.998975
3.7,50.0,99.99897222222222
3.71,50.0,99.99896944444444
3.72,50.0,99.99896666666666
3.73,50.0,99.9989638888889
3.74,50.0,99.99896111111111
3.75,50.0,99.99895833333333
3.7600000000000002,50.0,99.99895555555555
3.77,50.0,99.99895277777777
3.7800000000000002,50.0,99.99895
3.79,50.0,99.99894722222223
3.8000000000000003,50.0,99.99894444444445
3.81,50.0,99.99894166666667
3.8200000000000003,50.0,99.99893888888889
3.83,50.0,99.9989361111111
3.84,50.0,99.99893333333333
3.85,50.0,99.99893055555556
3.86,50.0,99.99892777777778
3.87,50.0,99.998925
3.88,50.0,99.99892222222222
3.89,50.0,99.99891944444444
3.9,50.0,99.99891666666667
3.91,50.0,99.9989138888889
3.92,50.0,99.99891111111111
3.93,50.0,99.99890833333333
3.94,50.0,99.99890555555555
3.95,50.0,99.99890277777777
3.96,50.0,99.9989
3.97,50.0,99.99889722222223
3.98,50.0,99.99889444444445
3.99,50.0,99.99889166666667
4.0,50.0,99.99888888888889
4.01,50.0,99.9988861111111
4.0200000000000005,50.0,99.99888333333334
4.03,50.0,99.99888055555556
4.04,50.0,99.99887777777778
4.05,50.0,99.998875
4.0600000000000005,50.0,99.99887222222222
4.07,50.0,99.99886944444444
4.08,50.0,99.99886666666667
4.09,50.0,99.99886388888889
4.1,50.0,99.99886111111111
4.11,50.0,99.99885833333333
4.12,50.0,99.99885555555555
4.13,50.0,99.99885277777778
4.14,50.0,99.99885
4.15,50.0,99.99884722222222
4.16,50.0,99.99884444444444
4.17,50.0,99.99884166666666
4.18,50.0,99.99883888888888
4.19,50.0,99.99883611111112
4.2,50.0,99.99883333333334
4.21,50.0,99.99883055555556
